Item_name,Item_code,Outlet,Outlet_place,Outlet_type,Month,Year,Units,Katalog
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,1,2017,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,1,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,1,2019,40127,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,2,2017,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,2,2018,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,2,2019,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,3,2017,31529,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,3,2018,25478,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,3,2019,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,4,2017,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,4,2018,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,5,2017,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,5,2018,37261,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,6,2017,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,6,2018,2293,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,7,2017,42994,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,7,2018,48726,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,8,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,8,2018,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,9,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,9,2018,31529,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,10,2017,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,10,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,11,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,11,2018,8599,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,12,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE KRK,Mali supermarket,12,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,1,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,1,2018,8599,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,1,2019,25796,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,2,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,2,2018,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,2,2019,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,3,2017,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,3,2018,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,3,2019,31529,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,4,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,4,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,5,2017,4586,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,5,2018,146178,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,6,2017,71656,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,6,2018,63057,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,7,2017,94586,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,7,2018,143312,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,8,2017,9172,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,8,2018,286624,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,9,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,9,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,10,2017,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,10,2018,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,11,2017,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,11,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,12,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE MALINSKA,Mali supermarket,12,2018,11465,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,1,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,1,2018,8599,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,1,2019,25796,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,2,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,2,2018,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,2,2019,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,3,2017,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,3,2018,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,3,2019,31529,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,4,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,4,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,5,2017,4586,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,5,2018,146178,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,6,2017,71656,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,6,2018,63057,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,7,2017,94586,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,7,2018,143312,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,8,2017,9172,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,8,2018,286624,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,9,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,9,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,10,2017,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,10,2018,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,11,2017,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,11,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,12,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE CRIKVENICA,Mali supermarket,12,2018,11465,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,1,2017,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,1,2018,2293,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,1,2019,11465,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,2,2017,21338,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,2,2018,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,2,2019,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,3,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,3,2018,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,3,2019,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,4,2017,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,4,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,5,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,5,2018,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,6,2017,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,6,2018,54459,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,7,2017,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,7,2018,37261,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,8,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,8,2018,212102,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,9,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,9,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,10,2017,16879,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,10,2018,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,11,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,11,2018,14331,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,12,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE PAG,Mali supermarket,12,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,1,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,1,2018,11465,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,1,2019,20064,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,2,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,2,2018,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,2,2019,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,3,2017,2229,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,3,2018,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,3,2019,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,4,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,4,2018,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,5,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,5,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,6,2017,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,6,2018,2293,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,7,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,7,2018,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,8,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,8,2018,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,9,2017,5732,0
